1 the current room
0 score
0 health
0 lives
0 global1
0 global2
0 global3
0 global4
0 global5
0 global6
12632256 background color
1 window mode
123 the number of instance
0 id
0 create
0 x
32 y
0 image single
0.1 image speed
0 image number
1 alive
1 visible
1 image auto
0 image timer
0 image transprant
16777215 transprat color
1 direction 
0 speed
0 vspeed
0 hspeed
0 vector1
0 vector2
0 depth
32 width
32 height
obj_wall
1 solid
0 px
32 py
0 b left
0 b top
32 b right
32 b bottom
0 sx
32 sy
0 the length of variables
0 offsetx
0 offsety
0 mouse enter
1 id
0 create
0 x
64 y
0 image single
0.1 image speed
0 image number
1 alive
1 visible
1 image auto
0 image timer
0 image transprant
16777215 transprat color
1 direction 
0 speed
0 vspeed
0 hspeed
0 vector1
0 vector2
0 depth
32 width
32 height
obj_wall
1 solid
0 px
64 py
0 b left
0 b top
32 b right
32 b bottom
0 sx
64 sy
0 the length of variables
0 offsetx
0 offsety
0 mouse enter
2 id
0 create
0 x
128 y
0 image single
0.1 image speed
0 image number
1 alive
1 visible
1 image auto
0 image timer
0 image transprant
16777215 transprat color
1 direction 
0 speed
0 vspeed
0 hspeed
0 vector1
0 vector2
0 depth
32 width
32 height
obj_wall
1 solid
0 px
128 py
0 b left
0 b top
32 b right
32 b bottom
0 sx
128 sy
0 the length of variables
0 offsetx
0 offsety
0 mouse enter
3 id
0 create
0 x
96 y
0 image single
0.1 image speed
0 image number
1 alive
1 visible
1 image auto
0 image timer
0 image transprant
16777215 transprat color
1 direction 
0 speed
0 vspeed
0 hspeed
0 vector1
0 vector2
0 depth
32 width
32 height
obj_wall
1 solid
0 px
96 py
0 b left
0 b top
32 b right
32 b bottom
0 sx
96 sy
0 the length of variables
0 offsetx
0 offsety
0 mouse enter
4 id
0 create
0 x
160 y
0 image single
0.1 image speed
0 image number
1 alive
1 visible
1 image auto
0 image timer
0 image transprant
16777215 transprat color
1 direction 
0 speed
0 vspeed
0 hspeed
0 vector1
0 vector2
0 depth
32 width
32 height
obj_wall
1 solid
0 px
160 py
0 b left
0 b top
32 b right
32 b bottom
0 sx
160 sy
0 the length of variables
0 offsetx
0 offsety
0 mouse enter
5 id
0 create
0 x
192 y
0 image single
0.1 image speed
0 image number
1 alive
1 visible
1 image auto
0 image timer
0 image transprant
16777215 transprat color
1 direction 
0 speed
0 vspeed
0 hspeed
0 vector1
0 vector2
0 depth
32 width
32 height
